Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
HOLX,"HOLOGIC, INC. (XNAS:HOLX)",0.380000%,6.850000%,-0.190000%,-14.520000%,16.600000%,-14.520000%,-11.400000%,30.530000%
HON,HONEYWELL INTERNATIONAL INCORPORATION (XNAS:HON),0.290000%,6.180000%,-0.370000%,-13.510000%,24.480000%,-13.510000%,275.670000%,97.540000%
HOOD,"ROBINHOOD MARKETS, INC. (XNAS:HOOD)",4.460000%,19.850000%,0.000000%,0.000000%,53.400000%,-45.610000%,20.890000%,30.840000%
HPE,HEWLETT PACKARD ENTERPRISE COMPANY (XNYS:HPE),2.090000%,9.520000%,1.800000%,-26.070000%,21.040000%,-26.070000%,26.130000%,4.410000%
HPQ,HP INC. (XNYS:HPQ),0.190000%,9.580000%,-0.080000%,-20.610000%,17.760000%,-20.610000%,-46.990000%,-19.070000%
HRL,HORMEL FOODS CORPORATION (XNYS:HRL),-1.240000%,6.690000%,-1.260000%,4.550000%,16.660000%,-19.330000%,76.410000%,-9.430000%
HSIC,"HENRY SCHEIN, INC. (XNAS:HSIC)",0.600000%,6.990000%,0.010000%,-10.380000%,18.760000%,-10.380000%,-16.270000%,59.080000%
HST,"HOST HOTELS & RESORTS, INC. (XNAS:HST)",1.130000%,8.280000%,0.710000%,-14.430000%,21.380000%,-14.430000%,-24.820000%,27.780000%
HSY,THE HERSHEY COMPANY (XNYS:HSY),0.850000%,6.240000%,1.900000%,-16.510000%,14.700000%,-16.510000%,1.590000%,-51.940000%
HUBB,HUBBELL INCORPORATED (XNYS:HUBB),2.370000%,7.720000%,2.240000%,-17.080000%,17.610000%,-17.080000%,-22.510000%,-4.320000%
HUM,HUMANA INC. (XNYS:HUM),-0.900000%,8.960000%,-0.200000%,-20.290000%,24.160000%,-20.290000%,-4.330000%,14.290000%
HWM,HOWMET AEROSPACE INC. (XNYS:HWM),5.040000%,9.430000%,2.990000%,-15.630000%,33.970000%,-15.630000%,152.320000%,96.510000%
IBKR,"INTERACTIVE BROKERS GROUP, INC. (XNAS:IBKR)",3.890000%,10.270000%,3.730000%,-25.950000%,29.520000%,-25.950000%,111.260000%,16.080000%
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),2.030000%,7.370000%,2.550000%,-15.470000%,16.320000%,-15.470000%,-38.200000%,-8.160000%
ICE,"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)",1.140000%,6.990000%,1.240000%,-24.780000%,17.920000%,-24.780000%,227.530000%,-60.470000%
