Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
MDT,MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),-0.066800%,6.545100%,-0.866000%,-10.979000%,16.130000%,-10.979000%,-37.780200%,45.127100%
MET,"METLIFE, INC. (XNYS:MET)",1.508300%,8.018800%,1.708000%,-20.652000%,26.251000%,-20.652000%,196.418000%,25.615500%
META,"Meta Platforms, Inc. (XNAS:META)",2.310800%,13.581700%,1.874000%,-32.634000%,42.270000%,-32.634000%,127.482300%,-9.362700%
MGM,MGM RESORTS INTERNATIONAL (XNYS:MGM),1.432600%,11.446300%,1.126000%,-17.215000%,33.018000%,-17.215000%,32.000400%,48.158400%
MKC,"MCCORMICK & COMPANY, INCORPORATED (XNYS:MKC)",-0.499500%,6.174000%,-0.508000%,-15.521000%,12.691000%,-15.521000%,-0.367900%,-0.997300%
MLM,"MARTIN MARIETTA MATERIALS, INC. (XNYS:MLM)",1.916100%,8.307100%,1.654000%,-13.917000%,20.754000%,-13.917000%,-41.551200%,18.203100%
MMC,"MARSH & MCLENNAN COMPANIES, INC. (XNYS:MMC)",1.147800%,6.030900%,1.684000%,-11.610000%,12.518000%,-11.610000%,-70.855700%,-16.807200%
MMM,3M COMPANY (XNYS:MMM),0.194900%,8.046400%,0.143000%,-13.694000%,24.817000%,-13.694000%,40.164300%,43.842200%
MNST,MONSTER BEVERAGE CORPORATION (XNAS:MNST),1.264600%,6.600700%,1.048000%,-10.831000%,20.140000%,-10.831000%,-7.821200%,29.769600%
MO,"Altria Group, Inc. (XNYS:MO)",1.086500%,7.268400%,0.670000%,-22.777000%,24.537000%,-22.777000%,242.708400%,-5.654400%
MOH,"MOLINA HEALTHCARE, INC. (XNYS:MOH)",0.394800%,10.407700%,0.437000%,-47.006000%,17.206000%,-47.006000%,599.937000%,-150.961400%
MOS,THE MOSAIC COMPANY (XNYS:MOS),1.561900%,14.178900%,-0.075000%,-25.414000%,66.458000%,-25.414000%,629.658800%,153.269500%
MPC,MARATHON PETROLEUM CORPORATION (XNYS:MPC),3.384400%,9.532300%,4.038000%,-19.236000%,26.552000%,-19.236000%,11.318100%,2.106400%
MPWR,"MONOLITHIC POWER SYSTEMS, INC. (XNAS:MPWR)",3.003200%,11.672500%,5.040000%,-25.242000%,24.218000%,-25.242000%,-49.478400%,-34.496800%
MRK,"MERCK & CO., INC. (XNYS:MRK)",0.498000%,6.768000%,-0.663000%,-14.923000%,21.924000%,-14.923000%,143.041800%,77.763700%
MRNA,"MODERNA, INC. (XNAS:MRNA)",-1.462200%,19.121300%,-3.160000%,-35.078000%,65.751000%,-35.078000%,208.511100%,104.461500%
MS,MORGAN STANLEY (XNYS:MS),1.914200%,8.285700%,3.451000%,-15.719000%,17.532000%,-15.719000%,-72.617600%,-25.285300%
MSCI,MSCI INC. (XNYS:MSCI),0.560200%,8.112700%,-0.540000%,-16.890000%,16.789000%,-16.890000%,-43.811000%,11.581400%
MSFT,MICROSOFT CORPORATION (XNAS:MSFT),1.389200%,6.549300%,0.181000%,-10.927000%,17.629000%,-10.927000%,-14.919700%,35.706900%
MSI,"MOTOROLA SOLUTIONS, INC. (XNYS:MSI)",1.540200%,6.753000%,1.846000%,-14.634000%,15.948000%,-14.634000%,-38.822300%,-10.093900%
MTB,M&T BANK CORPORATION (XNYS:MTB),1.411000%,7.982000%,2.440000%,-23.353000%,14.449000%,-23.353000%,49.569600%,-66.877300%
MTCH,"MATCH GROUP, INC. (XNAS:MTCH)",-2.347000%,12.098200%,-3.062000%,-29.065000%,30.441000%,-29.065000%,36.644100%,29.246300%
MTD,METTLER-TOLEDO INTERNATIONAL INC. (XNYS:MTD),0.445900%,8.595000%,-0.774000%,-13.866000%,17.493000%,-13.866000%,-89.913800%,23.380600%
MU,"MICRON TECHNOLOGY, INC. (XNAS:MU)",3.638600%,13.363100%,2.619000%,-25.135000%,40.593000%,-25.135000%,58.180300%,65.984900%
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD. (XNYS:NCLH),1.306400%,17.336900%,-0.543000%,-33.122000%,48.680000%,-33.122000%,34.120900%,44.480000%
NDAQ,"NASDAQ, INC. (XNAS:NDAQ)",1.351300%,6.805400%,1.284000%,-14.666000%,18.592000%,-14.666000%,-20.063900%,-3.560900%
NDSN,NORDSON CORPORATION (XNAS:NDSN),0.481600%,6.802600%,0.826000%,-19.828000%,14.103000%,-19.828000%,21.566300%,-22.030800%
NEE,"NEXTERA ENERGY, INC. (XNYS:NEE)",-0.033200%,7.023900%,0.360000%,-16.324000%,19.486000%,-16.324000%,21.082900%,-19.807700%
NEM,NEWMONT CORPORATION (XNYS:NEM),0.940100%,10.484700%,0.609000%,-24.116000%,29.884000%,-24.116000%,0.687700%,11.393300%
NFLX,"NETFLIX, INC. (XNAS:NFLX)",1.576900%,12.468200%,0.509000%,-49.182000%,28.610000%,-49.182000%,385.513200%,-97.861600%
NI,NISOURCE INC. (XNYS:NI),1.184600%,5.056100%,1.204000%,-14.639000%,12.648000%,-14.639000%,62.389000%,-24.307900%
