Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
LEN,0.011914098,0.09816788,0.01213,-0.21802,0.21744,-0.21802,-0.236116949,0.141820522
LH,0.008787541,0.065070759,0.01857,-0.14081,0.13551,-0.14081,-0.396810231,-0.24766615
LHX,0.015311639,0.076417182,0.00823,-0.14607,0.20555,-0.14607,0.511989026,0.633663069
LII,0.012418852,0.076626202,0.01147,-0.17323,0.18351,-0.17323,-0.403234693,0.062451909
LIN,0.014142951,0.063267815,0.01061,-0.11937,0.16375,-0.11937,-0.13633068,0.183167619
LKQ,0.005598525,0.091912729,-0.00216,-0.20373,0.20633,-0.20373,-0.415950031,-0.074883647
LLY,0.042389672,0.095401168,0.04152,-0.17941,0.23176,-0.17941,-0.544587334,0.025867613
LMT,0.008726721,0.067281717,-0.00272,-0.09341,0.25988,-0.09341,2.338968075,1.234181938
LNT,0.003891639,0.052722237,0.00092,-0.13188,0.12192,-0.13188,-0.155605487,0.10808283
LOW,0.008277377,0.073639404,-0.00505,-0.14814,0.19681,-0.14814,-0.101222883,0.404378647
LRCX,0.033559836,0.124582759,0.02473,-0.18053,0.33699,-0.18053,-0.546887164,0.342272853
LULU,-0.006738689,0.114699301,-0.01384,-0.31661,0.19257,-0.31661,-0.312468544,-0.157317928
